model,size_mb,conf_threshold,map50,map50_95,conf_tuning_metrics
yolov5n,5.303351402282715,0.8,0.5983871048872692,0.48468030968340275,"[{'conf': 0.001, 'map50': 0.48746105031247694}, {'conf': 0.1, 'map50': 0.5259365357487146}, {'conf': 0.2, 'map50': 0.5488931103990958}, {'conf': 0.3, 'map50': 0.5657603897905602}, {'conf': 0.4, 'map50': 0.5666694006872259}, {'conf': 0.5, 'map50': 0.5698012899200762}, {'conf': 0.6, 'map50': 0.5887434648659875}, {'conf': 0.7, 'map50': 0.5931532918548423}, {'conf': 0.8, 'map50': 0.5970265395899935}, {'conf': 0.9, 'map50': 0.5420322580645158}, {'conf': 0.95, 'map50': 0.501127562642369}]"
yolov5s,17.718756675720215,0.5,0.6033103317378476,0.4542940056301889,"[{'conf': 0.001, 'map50': 0.500245173605063}, {'conf': 0.1, 'map50': 0.5319972864738076}, {'conf': 0.2, 'map50': 0.5550637470496673}, {'conf': 0.3, 'map50': 0.5728468991385047}, {'conf': 0.4, 'map50': 0.5830925998492366}, {'conf': 0.5, 'map50': 0.5868675955149364}, {'conf': 0.6, 'map50': 0.5858413481720381}, {'conf': 0.7, 'map50': 0.5848697924755426}, {'conf': 0.8, 'map50': 0.5679508740163419}, {'conf': 0.9, 'map50': 0.5136261682242991}, {'conf': 0.95, 'map50': 0.0}]"
yolov5n6u,5.303351402282715,0.4,0.6035389435701308,0.40484288745580893,"[{'conf': 0.001, 'map50': 0.5246156147196561}, {'conf': 0.1, 'map50': 0.5558859394980289}, {'conf': 0.2, 'map50': 0.5719894902329443}, {'conf': 0.3, 'map50': 0.5891432613350296}, {'conf': 0.4, 'map50': 0.6118924704872966}, {'conf': 0.5, 'map50': 0.6023714605760015}, {'conf': 0.6, 'map50': 0.5938873854654068}, {'conf': 0.7, 'map50': 0.5725857101030916}, {'conf': 0.8, 'map50': 0.5435973403776966}, {'conf': 0.9, 'map50': 0.5147704918032787}, {'conf': 0.95, 'map50': 0.0}]"
yolov5s6u,17.718756675720215,0.6,0.6015741797204661,0.4282559143481671,"[{'conf': 0.001, 'map50': 0.5135307062794955}, {'conf': 0.1, 'map50': 0.534295667742446}, {'conf': 0.2, 'map50': 0.5562203357410638}, {'conf': 0.3, 'map50': 0.5663828525257086}, {'conf': 0.4, 'map50': 0.5785725308036702}, {'conf': 0.5, 'map50': 0.5777269912991064}, {'conf': 0.6, 'map50': 0.5856069107485827}, {'conf': 0.7, 'map50': 0.5779760497659496}, {'conf': 0.8, 'map50': 0.5532372916036913}, {'conf': 0.9, 'map50': 0.5193120567375888}, {'conf': 0.95, 'map50': 0.501127562642369}]"
yolov8n,6.244724273681641,0.8,0.6075747332864667,0.4906759515419748,"[{'conf': 0.001, 'map50': 0.507541821522756}, {'conf': 0.1, 'map50': 0.5457008853492423}, {'conf': 0.2, 'map50': 0.5665757135174072}, {'conf': 0.3, 'map50': 0.5823338449462147}, {'conf': 0.4, 'map50': 0.587486092923305}, {'conf': 0.5, 'map50': 0.598537119980498}, {'conf': 0.6, 'map50': 0.6052741834308148}, {'conf': 0.7, 'map50': 0.6014497247747126}, {'conf': 0.8, 'map50': 0.6087795903092736}, {'conf': 0.9, 'map50': 0.5507035596187513}, {'conf': 0.95, 'map50': 0.5045412844036696}]"
yolov8s,21.54068374633789,0.8,0.6151349622934137,0.5018268414143583,"[{'conf': 0.001, 'map50': 0.5260001465969159}, {'conf': 0.1, 'map50': 0.554538274709608}, {'conf': 0.2, 'map50': 0.5745095748626322}, {'conf': 0.3, 'map50': 0.5853781217992855}, {'conf': 0.4, 'map50': 0.5946051971836053}, {'conf': 0.5, 'map50': 0.6013322129229826}, {'conf': 0.6, 'map50': 0.6037000710988761}, {'conf': 0.7, 'map50': 0.6096813723301564}, {'conf': 0.8, 'map50': 0.610080047912446}, {'conf': 0.9, 'map50': 0.5511265822784811}, {'conf': 0.95, 'map50': 0.5045412844036696}]"
yolov9t,4.7375593185424805,0.6,0.6217218956897411,0.44280893339719585,"[{'conf': 0.001, 'map50': 0.5099758034049904}, {'conf': 0.1, 'map50': 0.5487156773229419}, {'conf': 0.2, 'map50': 0.5716887105546329}, {'conf': 0.3, 'map50': 0.5873489284351684}, {'conf': 0.4, 'map50': 0.6089603104851508}, {'conf': 0.5, 'map50': 0.6214306532203995}, {'conf': 0.6, 'map50': 0.6339117847801905}, {'conf': 0.7, 'map50': 0.6227448762058567}, {'conf': 0.8, 'map50': 0.6053608394888574}, {'conf': 0.9, 'map50': 0.5272596153846154}, {'conf': 0.95, 'map50': 0.0}]"
yolov9s,14.67432689666748,0.6,0.6272409268051604,0.44342684879878336,"[{'conf': 0.001, 'map50': 0.5296034235310947}, {'conf': 0.1, 'map50': 0.5658087703389082}, {'conf': 0.2, 'map50': 0.5888951114118051}, {'conf': 0.3, 'map50': 0.600440766650337}, {'conf': 0.4, 'map50': 0.616697897338093}, {'conf': 0.5, 'map50': 0.6229180817108189}, {'conf': 0.6, 'map50': 0.6237943589783579}, {'conf': 0.7, 'map50': 0.610271335933206}, {'conf': 0.8, 'map50': 0.5937263362639862}, {'conf': 0.9, 'map50': 0.5170329411764706}, {'conf': 0.95, 'map50': 0.501127562642369}]"
yolov10n,5.586821556091309,0.5,0.5867990247764245,0.45272867437584485,"[{'conf': 0.001, 'map50': 0.4788071430120839}, {'conf': 0.1, 'map50': 0.5363338022489776}, {'conf': 0.2, 'map50': 0.5641596351391669}, {'conf': 0.3, 'map50': 0.5752778979159819}, {'conf': 0.4, 'map50': 0.5874201495407092}, {'conf': 0.5, 'map50': 0.5889548937761447}, {'conf': 0.6, 'map50': 0.5832247954079223}, {'conf': 0.7, 'map50': 0.579805532878512}, {'conf': 0.8, 'map50': 0.5739261383107537}, {'conf': 0.9, 'map50': 0.5274982606368743}, {'conf': 0.95, 'map50': 0.5113534883720932}]"
yolov10s,15.850958824157715,0.6,0.6075728468724622,0.4766609633836999,"[{'conf': 0.001, 'map50': 0.5169082321884255}, {'conf': 0.1, 'map50': 0.5687259829813969}, {'conf': 0.2, 'map50': 0.5857503024753197}, {'conf': 0.3, 'map50': 0.5956502179678022}, {'conf': 0.4, 'map50': 0.6046779907870588}, {'conf': 0.5, 'map50': 0.6076626818724531}, {'conf': 0.6, 'map50': 0.6176222554103383}, {'conf': 0.7, 'map50': 0.6169557228588113}, {'conf': 0.8, 'map50': 0.5840330711837065}, {'conf': 0.9, 'map50': 0.547713567839196}, {'conf': 0.95, 'map50': 0.5022602739726026}]"
