epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6376,1.55872,3.00335,1.32664,0.35862,0.2351,0.19616,0.09853,1.49205,3.24246,1.14774,0.00042,0.00042,0.00042
2,70.4495,1.52381,2.0987,1.30234,0.58499,0.01136,0.06061,0.02593,1.65588,3.36377,1.41339,0.000851486,0.000851486,0.000851486
3,99.3023,1.59815,2.05159,1.34562,0.00676,0.03636,0.00363,0.00148,2.13064,4.683,3.11468,0.00127426,0.00127426,0.00127426
4,129.957,1.63608,2.00804,1.38244,0.20264,0.05,0.04124,0.01623,2.23553,3.38209,2.26708,0.00168832,0.00168832,0.00168832
5,157.654,1.7333,2.00728,1.43436,0.02752,0.01818,0.00566,0.00241,2.69283,3.83622,3.28464,0.0019208,0.0019208,0.0019208
6,186.694,1.68293,1.90311,1.42409,0.15087,0.1,0.05085,0.02525,2.03847,3.97252,1.8607,0.001901,0.001901,0.001901
7,215.295,1.64397,1.80889,1.39639,0.25628,0.19545,0.12956,0.06427,1.87744,5.49111,1.70685,0.0018812,0.0018812,0.0018812
8,244.69,1.65536,1.7725,1.41367,0.14492,0.225,0.08686,0.04323,1.87314,6.24342,1.60051,0.0018614,0.0018614,0.0018614
9,273.816,1.63886,1.73442,1.38193,0.33877,0.325,0.23084,0.12347,1.73019,3.63217,1.51587,0.0018416,0.0018416,0.0018416
10,303.321,1.59318,1.692,1.36399,0.45869,0.33636,0.30073,0.14314,1.80217,2.7816,1.50745,0.0018218,0.0018218,0.0018218
11,333.147,1.57098,1.69135,1.36173,0.53584,0.26136,0.27909,0.14125,1.76278,2.49431,1.52251,0.001802,0.001802,0.001802
12,362.013,1.56895,1.61151,1.3381,0.48901,0.34318,0.32375,0.18142,1.61144,2.18697,1.35342,0.0017822,0.0017822,0.0017822
13,392.518,1.56399,1.61215,1.33335,0.42152,0.33182,0.2957,0.16821,1.58776,2.48908,1.34219,0.0017624,0.0017624,0.0017624
14,420.164,1.55377,1.58409,1.33796,0.51066,0.36136,0.32874,0.18659,1.53816,2.68305,1.31306,0.0017426,0.0017426,0.0017426
15,450.641,1.51306,1.56648,1.32509,0.49131,0.32273,0.30645,0.16253,1.64613,1.99122,1.35839,0.0017228,0.0017228,0.0017228
16,479.566,1.52353,1.55613,1.32135,0.51554,0.36364,0.35825,0.20212,1.61442,1.70026,1.33877,0.001703,0.001703,0.001703
17,508.685,1.51913,1.5801,1.32122,0.42009,0.40227,0.35197,0.19243,1.6152,1.77677,1.33715,0.0016832,0.0016832,0.0016832
18,536.645,1.52021,1.55847,1.33498,0.58012,0.31591,0.3507,0.19918,1.60833,2.36414,1.32451,0.0016634,0.0016634,0.0016634
19,566.651,1.52874,1.52996,1.30473,0.52116,0.36856,0.35505,0.18986,1.66036,2.3431,1.32482,0.0016436,0.0016436,0.0016436
20,594.899,1.51459,1.49343,1.30538,0.52869,0.34318,0.32869,0.1766,1.68207,2.8421,1.39166,0.0016238,0.0016238,0.0016238
21,624.947,1.5155,1.51383,1.28568,0.5607,0.351,0.3768,0.20638,1.6278,1.70433,1.29568,0.001604,0.001604,0.001604
22,652.884,1.47849,1.44849,1.26585,0.56471,0.35455,0.38228,0.20327,1.69649,1.66748,1.36696,0.0015842,0.0015842,0.0015842
23,684.004,1.47912,1.4818,1.28247,0.57583,0.34318,0.35516,0.18466,1.73412,1.6868,1.34367,0.0015644,0.0015644,0.0015644
24,712.094,1.49801,1.49604,1.28657,0.5918,0.35227,0.39079,0.2097,1.6634,1.74314,1.31739,0.0015446,0.0015446,0.0015446
25,742.627,1.45071,1.39,1.26312,0.54604,0.39318,0.39161,0.21289,1.68806,1.55189,1.34977,0.0015248,0.0015248,0.0015248
26,771.217,1.48344,1.44428,1.27573,0.58539,0.36582,0.39123,0.21327,1.67781,1.669,1.31608,0.001505,0.001505,0.001505
27,800.213,1.46595,1.42425,1.29044,0.54431,0.38864,0.39481,0.22488,1.59685,1.76298,1.27891,0.0014852,0.0014852,0.0014852
28,830.371,1.44727,1.4119,1.26607,0.52456,0.36136,0.34721,0.2016,1.5967,2.05499,1.32133,0.0014654,0.0014654,0.0014654
29,858.677,1.42522,1.4004,1.2734,0.57044,0.38182,0.41187,0.23712,1.65638,1.52806,1.32975,0.0014456,0.0014456,0.0014456
30,889.798,1.42468,1.38675,1.25716,0.58682,0.375,0.403,0.22236,1.65916,1.64584,1.33662,0.0014258,0.0014258,0.0014258
31,917.782,1.412,1.36592,1.25307,0.67513,0.35909,0.4304,0.24349,1.57349,1.52081,1.30357,0.001406,0.001406,0.001406
32,946.606,1.44673,1.38141,1.25646,0.61908,0.38864,0.40832,0.23303,1.55102,1.53541,1.27805,0.0013862,0.0013862,0.0013862
33,975.448,1.40744,1.3512,1.24528,0.54487,0.35682,0.37934,0.22287,1.56338,1.62288,1.28049,0.0013664,0.0013664,0.0013664
34,1003.44,1.42335,1.35278,1.25544,0.56876,0.37273,0.40631,0.24069,1.54453,1.52531,1.28292,0.0013466,0.0013466,0.0013466
