epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7456,1.56667,3.31855,1.37352,0.32115,0.24773,0.1621,0.07427,1.90716,6.36363,1.56625,0.000653333,0.000653333,0.000653333
2,70.2492,1.64514,1.8838,1.41742,0.05439,0.27045,0.02872,0.01311,2.00213,12.2788,2.03765,0.00130693,0.00130693,0.00130693
3,103.824,1.7298,1.89685,1.48328,0.00422,0.30227,0.00286,0.00125,2.41385,inf,3.84485,0.00194733,0.00194733,0.00194733
4,138.058,1.75815,1.93348,1.50765,0.00799,0.07045,0.00236,0.00117,2.73375,12.5,2.29005,0.0019406,0.0019406,0.0019406
5,171.365,1.7269,1.9366,1.4785,0.13118,0.23182,0.08351,0.04132,1.72027,8.90403,1.46585,0.0019208,0.0019208,0.0019208
6,204.329,1.67041,1.82956,1.42794,0.3121,0.27045,0.19213,0.09697,1.86228,4.84412,1.62038,0.001901,0.001901,0.001901
7,238.888,1.64461,1.78952,1.43547,0.42544,0.33321,0.2986,0.16495,1.74001,2.39684,1.46172,0.0018812,0.0018812,0.0018812
8,272.382,1.6501,1.78013,1.4083,0.37177,0.25455,0.21576,0.11623,1.66883,3.23568,1.41906,0.0018614,0.0018614,0.0018614
9,306.943,1.60985,1.66881,1.41847,0.48999,0.33409,0.30635,0.15542,1.82344,1.99565,1.48648,0.0018416,0.0018416,0.0018416
10,340.592,1.60876,1.71026,1.3903,0.46625,0.27727,0.29497,0.16739,1.71863,2.25356,1.43449,0.0018218,0.0018218,0.0018218
11,374.303,1.5861,1.65382,1.40074,0.53426,0.30682,0.32328,0.15123,1.85315,2.0392,1.44058,0.001802,0.001802,0.001802
12,407.894,1.58344,1.63298,1.37067,0.4869,0.33409,0.32896,0.18227,1.72333,1.91506,1.41085,0.0017822,0.0017822,0.0017822
13,442.198,1.53434,1.57702,1.36313,0.48641,0.33182,0.32393,0.17753,1.7133,2.21647,1.43723,0.0017624,0.0017624,0.0017624
14,475.647,1.54362,1.5501,1.34803,0.52439,0.36836,0.36065,0.21054,1.65336,1.71624,1.37402,0.0017426,0.0017426,0.0017426
15,509.863,1.51834,1.54614,1.3393,0.46418,0.37955,0.37382,0.21597,1.60167,1.62295,1.35609,0.0017228,0.0017228,0.0017228
16,543.605,1.53834,1.54476,1.33479,0.51351,0.36364,0.36926,0.21408,1.52732,1.71834,1.30636,0.001703,0.001703,0.001703
17,576.916,1.50846,1.49427,1.31758,0.54613,0.35227,0.34339,0.1973,1.53644,1.88698,1.29818,0.0016832,0.0016832,0.0016832
18,611.78,1.48907,1.50458,1.31851,0.49528,0.37045,0.35456,0.21053,1.50135,1.94499,1.30282,0.0016634,0.0016634,0.0016634
19,645.875,1.46896,1.48918,1.30263,0.53132,0.38636,0.37336,0.20644,1.68892,1.79417,1.39504,0.0016436,0.0016436,0.0016436
20,680.316,1.47542,1.50791,1.31608,0.56066,0.34318,0.36323,0.21705,1.48893,1.57882,1.29158,0.0016238,0.0016238,0.0016238
21,714.326,1.44982,1.46999,1.30098,0.57583,0.37727,0.38444,0.21381,1.65469,1.68342,1.34471,0.001604,0.001604,0.001604
22,748.555,1.47094,1.43204,1.311,0.59077,0.37045,0.41009,0.23536,1.53169,1.53186,1.29926,0.0015842,0.0015842,0.0015842
23,782.203,1.44272,1.41766,1.29207,0.51675,0.4,0.3863,0.21792,1.61438,1.51518,1.29921,0.0015644,0.0015644,0.0015644
24,816.31,1.42601,1.41184,1.27718,0.69073,0.35,0.41661,0.23713,1.56129,1.6257,1.28311,0.0015446,0.0015446,0.0015446
25,850.904,1.40574,1.40279,1.29026,0.6559,0.375,0.42624,0.25118,1.53822,1.46042,1.29068,0.0015248,0.0015248,0.0015248
26,884.797,1.43261,1.40263,1.28558,0.56191,0.37022,0.38884,0.22331,1.62094,1.57087,1.32261,0.001505,0.001505,0.001505
27,918.601,1.45835,1.43816,1.30517,0.55873,0.425,0.42674,0.24101,1.59408,1.48943,1.30718,0.0014852,0.0014852,0.0014852
28,952.861,1.41801,1.38742,1.28329,0.58661,0.37955,0.41499,0.23545,1.56801,1.48854,1.30246,0.0014654,0.0014654,0.0014654
29,986.151,1.4131,1.38129,1.28111,0.67838,0.33636,0.40677,0.24494,1.54507,1.4955,1.3013,0.0014456,0.0014456,0.0014456
30,1019.95,1.39612,1.38382,1.26881,0.62663,0.38409,0.43427,0.25993,1.48632,1.50475,1.2828,0.0014258,0.0014258,0.0014258
31,1054.99,1.41467,1.37979,1.26676,0.55549,0.41751,0.42664,0.2363,1.62008,1.51367,1.3243,0.001406,0.001406,0.001406
32,1088.99,1.38896,1.34362,1.26008,0.59888,0.39318,0.43343,0.25776,1.50762,1.48091,1.26194,0.0013862,0.0013862,0.0013862
33,1122.15,1.40973,1.35094,1.26816,0.56158,0.38636,0.41584,0.25169,1.51318,1.58393,1.27024,0.0013664,0.0013664,0.0013664
34,1156.36,1.39254,1.33482,1.26992,0.55089,0.39773,0.42117,0.23021,1.6724,1.51214,1.37588,0.0013466,0.0013466,0.0013466
35,1190.47,1.4052,1.31672,1.27593,0.62916,0.37727,0.42566,0.24859,1.60202,1.58478,1.31472,0.0013268,0.0013268,0.0013268
36,1224.19,1.37875,1.31477,1.23784,0.5598,0.3844,0.41466,0.23787,1.61525,1.62275,1.30595,0.001307,0.001307,0.001307
37,1259.23,1.39087,1.30768,1.2478,0.51661,0.42727,0.43816,0.25627,1.48149,1.44962,1.2631,0.0012872,0.0012872,0.0012872
38,1293.35,1.41546,1.33758,1.25982,0.60232,0.40909,0.44076,0.24285,1.67061,1.53127,1.33392,0.0012674,0.0012674,0.0012674
39,1329.43,1.3604,1.27302,1.25182,0.61116,0.39318,0.43959,0.25714,1.50492,1.45403,1.2519,0.0012476,0.0012476,0.0012476
40,1363.36,1.34182,1.25513,1.23133,0.58015,0.40512,0.44146,0.25529,1.5674,1.49368,1.28353,0.0012278,0.0012278,0.0012278
41,1398.22,1.34914,1.28012,1.23646,0.76609,0.35455,0.45437,0.25171,1.6319,1.4242,1.33934,0.001208,0.001208,0.001208
42,1434.18,1.34615,1.24426,1.23717,0.54504,0.43409,0.44165,0.27358,1.43916,1.4966,1.2308,0.0011882,0.0011882,0.0011882
43,1468.69,1.36382,1.28406,1.23333,0.59853,0.41818,0.44902,0.27888,1.43301,1.45456,1.22474,0.0011684,0.0011684,0.0011684
44,1502.9,1.35351,1.24891,1.23059,0.59361,0.41364,0.44356,0.2578,1.50568,1.47764,1.24381,0.0011486,0.0011486,0.0011486
45,1537.53,1.35961,1.27181,1.23449,0.53242,0.41591,0.43255,0.24878,1.5547,1.49859,1.26626,0.0011288,0.0011288,0.0011288
46,1572.38,1.32739,1.22255,1.22395,0.58687,0.42045,0.44057,0.26131,1.54958,1.36724,1.27669,0.001109,0.001109,0.001109
47,1606.36,1.33251,1.21222,1.21715,0.60877,0.38901,0.43632,0.25398,1.53757,1.52753,1.24893,0.0010892,0.0010892,0.0010892
48,1639.89,1.34517,1.25045,1.22352,0.70126,0.36278,0.45603,0.27998,1.42763,1.36256,1.23067,0.0010694,0.0010694,0.0010694
49,1674.03,1.33877,1.21085,1.2165,0.6177,0.43332,0.46432,0.25824,1.58823,1.38787,1.28595,0.0010496,0.0010496,0.0010496
50,1708.44,1.29227,1.18109,1.22112,0.58933,0.43409,0.46057,0.26764,1.56814,1.35318,1.28422,0.0010298,0.0010298,0.0010298
51,1742.77,1.30394,1.16303,1.21621,0.6927,0.42045,0.48024,0.28968,1.49563,1.31518,1.24753,0.00101,0.00101,0.00101
52,1779.23,1.32418,1.21173,1.21475,0.67061,0.39545,0.45632,0.26523,1.49969,1.35883,1.25855,0.0009902,0.0009902,0.0009902
53,1813.92,1.31269,1.2181,1.21177,0.6284,0.42276,0.47093,0.28561,1.44267,1.31567,1.23007,0.0009704,0.0009704,0.0009704
54,1849.8,1.29545,1.17703,1.19555,0.68764,0.41027,0.46958,0.29144,1.42483,1.32122,1.22415,0.0009506,0.0009506,0.0009506
55,1884.19,1.32328,1.1848,1.22382,0.65782,0.425,0.47666,0.25474,1.69909,1.37035,1.31426,0.0009308,0.0009308,0.0009308
56,1919.48,1.32137,1.17957,1.20618,0.65757,0.425,0.47365,0.29572,1.42543,1.30515,1.21111,0.000911,0.000911,0.000911
57,1954.58,1.29614,1.16225,1.19564,0.65193,0.41364,0.45901,0.27169,1.53437,1.43551,1.24965,0.0008912,0.0008912,0.0008912
58,1988.67,1.2831,1.15742,1.19079,0.56322,0.44091,0.45775,0.25344,1.59115,1.34574,1.28503,0.0008714,0.0008714,0.0008714
59,2022.74,1.29614,1.15735,1.19416,0.65706,0.41368,0.46446,0.2735,1.55852,1.47674,1.25797,0.0008516,0.0008516,0.0008516
60,2057.09,1.26494,1.10443,1.17549,0.59183,0.45806,0.47354,0.27383,1.50599,1.34225,1.24591,0.0008318,0.0008318,0.0008318
61,2091.45,1.30005,1.14192,1.19005,0.62317,0.43182,0.46768,0.26931,1.5461,1.37229,1.26739,0.000812,0.000812,0.000812
62,2125.36,1.27487,1.10504,1.17618,0.64345,0.42656,0.47071,0.26986,1.55911,1.35271,1.2732,0.0007922,0.0007922,0.0007922
63,2159.96,1.2833,1.136,1.19177,0.67193,0.41818,0.46296,0.26153,1.5403,1.42272,1.26622,0.0007724,0.0007724,0.0007724
64,2196.16,1.26924,1.12015,1.18373,0.64066,0.41331,0.46124,0.2768,1.46982,1.35821,1.23878,0.0007526,0.0007526,0.0007526
65,2231.45,1.26492,1.1008,1.18753,0.71023,0.40682,0.4652,0.26647,1.566,1.39271,1.27118,0.0007328,0.0007328,0.0007328
66,2266.5,1.25673,1.0796,1.16119,0.63382,0.42879,0.47217,0.27171,1.56823,1.3796,1.26335,0.000713,0.000713,0.000713
67,2301.47,1.28485,1.09116,1.17761,0.66336,0.4389,0.48998,0.29032,1.5032,1.25327,1.2473,0.0006932,0.0006932,0.0006932
68,2335.58,1.24585,1.09504,1.16938,0.62786,0.46013,0.48504,0.28308,1.54106,1.24699,1.26522,0.0006734,0.0006734,0.0006734
69,2369.41,1.24815,1.05454,1.16343,0.66549,0.42273,0.5013,0.2893,1.48976,1.26397,1.23093,0.0006536,0.0006536,0.0006536
70,2403.51,1.24642,1.07329,1.16374,0.61038,0.44506,0.49025,0.29024,1.50021,1.27652,1.23775,0.0006338,0.0006338,0.0006338
71,2439.23,1.25519,1.06797,1.17239,0.66461,0.43409,0.4784,0.28264,1.51455,1.31066,1.24463,0.000614,0.000614,0.000614
72,2474.35,1.22809,1.04575,1.15583,0.63361,0.44318,0.49422,0.29756,1.45844,1.27719,1.22492,0.0005942,0.0005942,0.0005942
73,2507.64,1.25854,1.06967,1.17221,0.65089,0.44545,0.4904,0.28906,1.51023,1.30081,1.23269,0.0005744,0.0005744,0.0005744
74,2542.12,1.26517,1.07181,1.17689,0.66158,0.45227,0.49233,0.28981,1.50491,1.31166,1.24012,0.0005546,0.0005546,0.0005546
75,2576.85,1.23192,1.01811,1.15397,0.69512,0.47045,0.51726,0.30502,1.48826,1.19749,1.23327,0.0005348,0.0005348,0.0005348
76,2611.87,1.25154,1.0389,1.16732,0.72662,0.43182,0.50945,0.30615,1.48263,1.2324,1.22823,0.000515,0.000515,0.000515
77,2645.3,1.24291,1.04704,1.16271,0.66876,0.44318,0.49453,0.29939,1.469,1.23756,1.22124,0.0004952,0.0004952,0.0004952
78,2680.02,1.22331,1.04119,1.13953,0.64436,0.42727,0.48341,0.28153,1.49521,1.35923,1.22708,0.0004754,0.0004754,0.0004754
79,2715.12,1.23287,1.04122,1.15481,0.67203,0.45172,0.48871,0.28338,1.53787,1.35012,1.2492,0.0004556,0.0004556,0.0004556
80,2748.66,1.23359,1.03725,1.14637,0.66459,0.45682,0.50298,0.29207,1.50059,1.25704,1.21921,0.0004358,0.0004358,0.0004358
81,2783.48,1.22093,0.99781,1.14993,0.66471,0.42727,0.50149,0.30475,1.40939,1.22972,1.1926,0.000416,0.000416,0.000416
82,2817.13,1.22469,1.01925,1.14145,0.73113,0.425,0.50096,0.29169,1.53938,1.24811,1.25548,0.0003962,0.0003962,0.0003962
83,2852.46,1.23258,1.00361,1.13773,0.6768,0.46591,0.50271,0.29807,1.48567,1.26792,1.22786,0.0003764,0.0003764,0.0003764
84,2885.49,1.20346,0.98252,1.13369,0.70062,0.43409,0.49928,0.29526,1.49662,1.269,1.23024,0.0003566,0.0003566,0.0003566
85,2922.13,1.20847,1.01967,1.13968,0.68644,0.43182,0.49955,0.30449,1.41935,1.2313,1.20154,0.0003368,0.0003368,0.0003368
86,2957.62,1.21,0.97806,1.14047,0.66331,0.44545,0.49652,0.29632,1.48407,1.29668,1.22953,0.000317,0.000317,0.000317
87,2992.84,1.20284,0.97903,1.13662,0.74084,0.42727,0.51937,0.3124,1.45494,1.22255,1.21839,0.0002972,0.0002972,0.0002972
88,3027.23,1.24015,1.01831,1.15023,0.72348,0.46364,0.50784,0.29986,1.47547,1.26552,1.21784,0.0002774,0.0002774,0.0002774
89,3061.29,1.19604,0.96493,1.12584,0.67339,0.44318,0.50468,0.29501,1.50625,1.26152,1.22484,0.0002576,0.0002576,0.0002576
90,3096.81,1.18219,0.96057,1.12042,0.67565,0.44545,0.50296,0.3026,1.46071,1.24388,1.23603,0.0002378,0.0002378,0.0002378
91,3138.15,1.14976,0.95772,1.09804,0.62362,0.46695,0.50969,0.30649,1.46553,1.24001,1.21944,0.000218,0.000218,0.000218
92,3171.73,1.15506,0.91251,1.10073,0.66666,0.43864,0.48981,0.30451,1.44352,1.24618,1.20966,0.0001982,0.0001982,0.0001982
93,3205.82,1.15069,0.90869,1.0954,0.60175,0.47046,0.49754,0.30548,1.46318,1.24637,1.22629,0.0001784,0.0001784,0.0001784
94,3240.14,1.11816,0.89353,1.0722,0.67365,0.45682,0.51241,0.31479,1.43416,1.19451,1.21515,0.0001586,0.0001586,0.0001586
95,3274.33,1.13744,0.89233,1.08665,0.67035,0.45292,0.51193,0.30976,1.47253,1.22339,1.22618,0.0001388,0.0001388,0.0001388
96,3309.56,1.13124,0.88952,1.0859,0.67185,0.44545,0.50252,0.30937,1.46674,1.2351,1.21892,0.000119,0.000119,0.000119
97,3343.08,1.13289,0.87776,1.08768,0.6646,0.46591,0.50995,0.31823,1.41824,1.20957,1.20824,9.92e-05,9.92e-05,9.92e-05
98,3380.11,1.11773,0.84457,1.06801,0.73189,0.42809,0.51346,0.31182,1.45757,1.20266,1.2236,7.94e-05,7.94e-05,7.94e-05
99,3415.16,1.12192,0.86068,1.07964,0.70731,0.45036,0.51412,0.3138,1.45896,1.20041,1.22021,5.96e-05,5.96e-05,5.96e-05
100,3449.29,1.11967,0.84504,1.07986,0.7107,0.44545,0.51638,0.31392,1.46346,1.19604,1.22052,3.98e-05,3.98e-05,3.98e-05
