epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.3747,1.54591,3.95963,1.50753,0.41657,0.21591,0.20171,0.10638,1.62922,3.56788,1.52071,0.000660317,0.000660317,0.000660317
2,103.24,1.64435,3.28802,1.57274,0.20391,0.175,0.11293,0.05678,2.05347,5.63672,1.86942,0.00131385,0.00131385,0.00131385
3,153.367,1.72335,2.83328,1.61884,0.41408,0.20909,0.19976,0.11049,1.86903,3.4867,1.75592,0.00195418,0.00195418,0.00195418
4,202.733,1.75771,2.61979,1.6742,0.33526,0.26136,0.22394,0.11805,1.94318,3.71004,1.78757,0.0019406,0.0019406,0.0019406
5,251.163,1.77341,2.44357,1.66722,0.43028,0.21136,0.20165,0.10221,1.97567,3.21259,1.81009,0.0019208,0.0019208,0.0019208
6,300.487,1.70146,2.31487,1.62183,0.43341,0.22601,0.22895,0.12396,1.9362,2.55935,1.70709,0.001901,0.001901,0.001901
7,350.77,1.70324,2.28054,1.60427,0.36587,0.29318,0.27741,0.14529,1.88057,2.7687,1.65833,0.0018812,0.0018812,0.0018812
8,400.646,1.66103,2.18472,1.58347,0.39887,0.27727,0.27625,0.15734,1.75048,2.22635,1.57659,0.0018614,0.0018614,0.0018614
9,450.099,1.61701,2.1595,1.5536,0.50282,0.25,0.27586,0.16272,1.76304,2.46916,1.58286,0.0018416,0.0018416,0.0018416
10,498.471,1.62829,2.08623,1.55034,0.40185,0.32955,0.32316,0.18223,1.72269,2.24532,1.54726,0.0018218,0.0018218,0.0018218
11,548.086,1.58603,2.05514,1.529,0.52468,0.30909,0.32099,0.1747,1.73256,2.18604,1.58677,0.001802,0.001802,0.001802
12,597.743,1.59304,2.02492,1.53709,0.51727,0.33636,0.35532,0.19083,1.83873,2.10637,1.61487,0.0017822,0.0017822,0.0017822
13,647.506,1.5995,2.01293,1.54136,0.43648,0.32045,0.31191,0.17452,1.74801,2.11648,1.55963,0.0017624,0.0017624,0.0017624
14,698.248,1.55481,1.95896,1.51734,0.48511,0.34318,0.36121,0.19455,1.77218,2.09972,1.60797,0.0017426,0.0017426,0.0017426
15,748.041,1.55097,1.95264,1.50638,0.48057,0.36364,0.35276,0.21096,1.67063,1.9854,1.49709,0.0017228,0.0017228,0.0017228
16,798.896,1.5281,1.91523,1.48182,0.47228,0.33636,0.34719,0.19803,1.73552,2.11336,1.56244,0.001703,0.001703,0.001703
17,848.381,1.51224,1.88561,1.47495,0.55497,0.36591,0.4005,0.23175,1.66074,1.918,1.53403,0.0016832,0.0016832,0.0016832
18,898.592,1.52907,1.83476,1.47189,0.47442,0.37045,0.39309,0.21513,1.78064,1.95667,1.5633,0.0016634,0.0016634,0.0016634
19,947.807,1.50133,1.85135,1.44883,0.52474,0.38864,0.39026,0.2167,1.69149,1.92768,1.51216,0.0016436,0.0016436,0.0016436
20,997.171,1.50913,1.8544,1.46725,0.47382,0.36364,0.36015,0.21216,1.70053,1.96947,1.55437,0.0016238,0.0016238,0.0016238
21,1048.94,1.52041,1.84403,1.46327,0.55469,0.37369,0.39978,0.22196,1.73019,1.9771,1.55839,0.001604,0.001604,0.001604
22,1100.91,1.49737,1.77889,1.48116,0.51821,0.38182,0.39669,0.22515,1.66819,1.88468,1.56183,0.0015842,0.0015842,0.0015842
23,1151.32,1.49657,1.78479,1.45577,0.51801,0.36136,0.38912,0.22129,1.67814,1.89351,1.52445,0.0015644,0.0015644,0.0015644
24,1204.71,1.47486,1.75832,1.45802,0.48071,0.38409,0.38453,0.22395,1.62812,1.86486,1.52802,0.0015446,0.0015446,0.0015446
25,1255.7,1.46118,1.7593,1.4591,0.51609,0.39091,0.41185,0.23848,1.64686,1.90432,1.50914,0.0015248,0.0015248,0.0015248
26,1307.09,1.43659,1.7363,1.42991,0.5835,0.37045,0.40782,0.22547,1.71262,1.85374,1.52795,0.001505,0.001505,0.001505
27,1357.86,1.44972,1.71933,1.44092,0.5616,0.39773,0.418,0.23015,1.71777,1.87038,1.54658,0.0014852,0.0014852,0.0014852
28,1407.49,1.45604,1.71229,1.43854,0.49466,0.37376,0.39881,0.23942,1.62534,1.85609,1.52706,0.0014654,0.0014654,0.0014654
29,1457.8,1.44454,1.6988,1.42861,0.43265,0.41422,0.39797,0.21574,1.71464,2.04595,1.51258,0.0014456,0.0014456,0.0014456
30,1507.06,1.43709,1.67913,1.42861,0.51506,0.42726,0.43391,0.25465,1.61538,1.73677,1.50533,0.0014258,0.0014258,0.0014258
31,1557.13,1.44193,1.70062,1.42263,0.57898,0.375,0.41419,0.24566,1.64777,1.81326,1.50248,0.001406,0.001406,0.001406
32,1607.37,1.41161,1.62297,1.39933,0.59636,0.35455,0.41029,0.24535,1.60431,1.81138,1.49681,0.0013862,0.0013862,0.0013862
33,1657.41,1.41395,1.63775,1.4242,0.55313,0.4,0.42255,0.23374,1.67157,1.84534,1.52137,0.0013664,0.0013664,0.0013664
34,1706.71,1.40403,1.62902,1.40216,0.58415,0.375,0.415,0.24604,1.60575,1.78948,1.44863,0.0013466,0.0013466,0.0013466
35,1756.83,1.41885,1.63012,1.4121,0.55815,0.39091,0.42,0.24799,1.60088,1.77477,1.48026,0.0013268,0.0013268,0.0013268
36,1807.81,1.41116,1.60931,1.39821,0.53331,0.39773,0.42147,0.24305,1.62878,1.72458,1.49808,0.001307,0.001307,0.001307
37,1859.15,1.41198,1.60085,1.40012,0.51958,0.42045,0.42981,0.2441,1.67038,1.78393,1.49262,0.0012872,0.0012872,0.0012872
38,1910.37,1.40956,1.60943,1.39989,0.57047,0.41591,0.44787,0.26044,1.5964,1.75312,1.47519,0.0012674,0.0012674,0.0012674
39,1961.9,1.39526,1.59641,1.38473,0.49526,0.37955,0.4064,0.24079,1.60929,1.83193,1.46475,0.0012476,0.0012476,0.0012476
40,2015.17,1.38282,1.5618,1.37475,0.55802,0.40227,0.42927,0.25996,1.54877,1.75747,1.4331,0.0012278,0.0012278,0.0012278
41,2064.4,1.37115,1.53721,1.36287,0.54072,0.42045,0.43863,0.26194,1.58558,1.71712,1.46818,0.001208,0.001208,0.001208
42,2115.79,1.38534,1.54484,1.38354,0.5781,0.39318,0.43184,0.24614,1.57466,1.73358,1.46494,0.0011882,0.0011882,0.0011882
43,2164.94,1.38448,1.52114,1.37859,0.57972,0.41818,0.46673,0.25918,1.64897,1.66893,1.4977,0.0011684,0.0011684,0.0011684
44,2216.36,1.36168,1.49305,1.36807,0.64332,0.38122,0.45616,0.27812,1.52255,1.65798,1.41118,0.0011486,0.0011486,0.0011486
45,2267.41,1.37397,1.50206,1.37696,0.57891,0.41136,0.4602,0.27262,1.59722,1.71101,1.48868,0.0011288,0.0011288,0.0011288
46,2317.78,1.38913,1.49474,1.37888,0.56124,0.38957,0.43135,0.25758,1.58168,1.70343,1.47689,0.001109,0.001109,0.001109
47,2367.47,1.34014,1.50828,1.33891,0.60005,0.35682,0.41981,0.2577,1.59064,1.75533,1.44008,0.0010892,0.0010892,0.0010892
48,2418.17,1.3334,1.46567,1.34559,0.50648,0.42727,0.44175,0.27173,1.51674,1.67194,1.41188,0.0010694,0.0010694,0.0010694
49,2468.59,1.37052,1.48372,1.35066,0.54593,0.43174,0.46237,0.25995,1.62036,1.69202,1.45189,0.0010496,0.0010496,0.0010496
50,2518.7,1.33813,1.45458,1.35104,0.59432,0.37727,0.43735,0.26942,1.50628,1.6746,1.39286,0.0010298,0.0010298,0.0010298
51,2569.15,1.33906,1.44481,1.35563,0.6262,0.40682,0.47502,0.28813,1.5083,1.61905,1.42226,0.00101,0.00101,0.00101
52,2621.39,1.32829,1.44584,1.33837,0.58003,0.42375,0.45554,0.27573,1.5237,1.67049,1.42997,0.0009902,0.0009902,0.0009902
53,2672.17,1.33552,1.4276,1.34777,0.58467,0.42727,0.46559,0.27254,1.57734,1.62961,1.44801,0.0009704,0.0009704,0.0009704
54,2725.31,1.33543,1.40357,1.33234,0.56408,0.41364,0.44653,0.2627,1.58718,1.65854,1.43661,0.0009506,0.0009506,0.0009506
55,2773.48,1.32619,1.40482,1.34782,0.58175,0.425,0.46296,0.26434,1.60092,1.66678,1.45161,0.0009308,0.0009308,0.0009308
56,2823.18,1.30475,1.36722,1.32181,0.55009,0.45455,0.46797,0.27779,1.57007,1.62733,1.44079,0.000911,0.000911,0.000911
57,2872.35,1.3032,1.37139,1.31469,0.56645,0.43947,0.46325,0.26307,1.59552,1.62479,1.44564,0.0008912,0.0008912,0.0008912
58,2924.02,1.31389,1.38021,1.33805,0.60875,0.43495,0.46404,0.28901,1.47644,1.64798,1.40577,0.0008714,0.0008714,0.0008714
59,2972.3,1.31559,1.36968,1.32521,0.58463,0.41364,0.44261,0.26282,1.5363,1.71878,1.41999,0.0008516,0.0008516,0.0008516
60,3022.13,1.28247,1.35012,1.30658,0.614,0.42045,0.46942,0.27486,1.54715,1.62301,1.43359,0.0008318,0.0008318,0.0008318
61,3070.76,1.30906,1.36354,1.31925,0.61371,0.43636,0.48133,0.28961,1.52681,1.59246,1.4153,0.000812,0.000812,0.000812
62,3120.04,1.30013,1.33153,1.31475,0.55766,0.42692,0.45946,0.28483,1.4736,1.57608,1.39657,0.0007922,0.0007922,0.0007922
63,3170.02,1.29198,1.3079,1.31444,0.5707,0.44773,0.47212,0.29132,1.49109,1.577,1.39739,0.0007724,0.0007724,0.0007724
