epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.2246,1.59166,2.9591,1.58185,0.2787,0.25,0.18745,0.09278,1.87497,5.85944,1.86077,0.000662857,0.000662857,0.000662857
2,124.25,1.8538,2.54194,1.76838,0.20941,0.18182,0.08869,0.03582,2.20913,6.36227,2.04442,0.00131636,0.00131636,0.00131636
3,185.87,1.90175,2.58793,1.79645,0.26974,0.175,0.12651,0.06009,2.09883,3.69701,1.91523,0.00195667,0.00195667,0.00195667
4,247.406,1.8905,2.49815,1.79514,0.284,0.23182,0.18606,0.09782,2.05391,3.06055,1.86952,0.0019406,0.0019406,0.0019406
5,308.547,1.85264,2.44372,1.71485,0.26557,0.23182,0.18261,0.09364,2.04327,2.98722,1.78987,0.0019208,0.0019208,0.0019208
6,370.241,1.83659,2.31885,1.74197,0.43802,0.24623,0.24638,0.12504,1.95337,2.63276,1.79368,0.001901,0.001901,0.001901
7,431.589,1.80722,2.36007,1.71588,0.35441,0.27273,0.22895,0.11061,2.01579,2.84201,1.79927,0.0018812,0.0018812,0.0018812
8,492.735,1.74268,2.2451,1.66069,0.44743,0.2466,0.24236,0.12005,2.05219,2.57609,1.81883,0.0018614,0.0018614,0.0018614
9,554.152,1.74367,2.23337,1.65367,0.42664,0.27273,0.25324,0.13759,1.90681,2.52734,1.68776,0.0018416,0.0018416,0.0018416
10,615.219,1.68266,2.13914,1.61332,0.45567,0.33636,0.30655,0.16721,1.86672,2.25462,1.69581,0.0018218,0.0018218,0.0018218
11,676.65,1.67198,2.16467,1.61019,0.41685,0.30682,0.30125,0.17297,1.7802,2.21159,1.63189,0.001802,0.001802,0.001802
12,737.678,1.62055,2.09656,1.58132,0.51381,0.29545,0.31308,0.16234,1.88705,2.13118,1.67139,0.0017822,0.0017822,0.0017822
13,799.373,1.64395,2.06489,1.58842,0.51055,0.27273,0.30247,0.17546,1.74756,2.24916,1.60301,0.0017624,0.0017624,0.0017624
14,860.412,1.62179,2.04412,1.56779,0.45734,0.28636,0.30454,0.17744,1.79038,2.2055,1.66143,0.0017426,0.0017426,0.0017426
15,921.251,1.62003,2.07886,1.57233,0.44032,0.28429,0.27938,0.14148,1.90269,2.35956,1.73946,0.0017228,0.0017228,0.0017228
16,982.962,1.59254,2.02475,1.56427,0.58481,0.30455,0.35523,0.19539,1.77332,2.01818,1.63001,0.001703,0.001703,0.001703
17,1044.14,1.58168,1.98799,1.53521,0.49529,0.31447,0.32219,0.16854,1.87768,2.18074,1.7156,0.0016832,0.0016832,0.0016832
18,1105.25,1.56467,1.93852,1.52882,0.49837,0.33644,0.34814,0.17911,1.85251,2.08872,1.66306,0.0016634,0.0016634,0.0016634
19,1166.01,1.5495,1.91707,1.50905,0.42861,0.34948,0.32378,0.18558,1.71778,2.00813,1.57566,0.0016436,0.0016436,0.0016436
20,1227.68,1.55884,1.91305,1.51769,0.52185,0.32273,0.34006,0.20236,1.70285,2.08304,1.60054,0.0016238,0.0016238,0.0016238
21,1289.11,1.52245,1.86939,1.48905,0.46069,0.35682,0.37427,0.22514,1.65397,1.92307,1.53022,0.001604,0.001604,0.001604
22,1350.68,1.52221,1.8862,1.51302,0.49002,0.32975,0.32551,0.18555,1.74026,2.03963,1.57191,0.0015842,0.0015842,0.0015842
23,1412.71,1.52696,1.87563,1.50101,0.49204,0.33182,0.36199,0.21335,1.66981,2.02481,1.53184,0.0015644,0.0015644,0.0015644
24,1474.85,1.51461,1.83973,1.48539,0.48368,0.34318,0.35583,0.20195,1.72994,1.91277,1.54366,0.0015446,0.0015446,0.0015446
25,1536.27,1.49064,1.81488,1.47536,0.56814,0.32273,0.36389,0.20308,1.72683,1.95883,1.57962,0.0015248,0.0015248,0.0015248
26,1598,1.48829,1.77914,1.4755,0.46913,0.36818,0.36877,0.2114,1.69016,1.91132,1.56514,0.001505,0.001505,0.001505
27,1659.62,1.49095,1.78091,1.49203,0.49667,0.35682,0.36057,0.20323,1.67992,1.93631,1.546,0.0014852,0.0014852,0.0014852
28,1721.62,1.45648,1.79718,1.45559,0.46707,0.38864,0.37662,0.22026,1.69619,1.89352,1.56508,0.0014654,0.0014654,0.0014654
29,1783.76,1.44924,1.7393,1.45351,0.50533,0.36451,0.38593,0.22355,1.64217,2.00477,1.53336,0.0014456,0.0014456,0.0014456
30,1845.43,1.45795,1.7469,1.45133,0.51767,0.38636,0.40557,0.22961,1.68171,1.89202,1.55063,0.0014258,0.0014258,0.0014258
31,1906.65,1.45922,1.71302,1.45743,0.56522,0.37045,0.41146,0.22071,1.73967,1.8228,1.56665,0.001406,0.001406,0.001406
32,1967.69,1.45257,1.71816,1.45145,0.51405,0.33636,0.36607,0.21808,1.62768,1.92577,1.52471,0.0013862,0.0013862,0.0013862
33,2029.05,1.43357,1.69207,1.43512,0.48621,0.40455,0.41368,0.21859,1.7477,1.81077,1.58618,0.0013664,0.0013664,0.0013664
34,2090.45,1.42857,1.69847,1.43666,0.53248,0.38409,0.4143,0.2418,1.57687,1.74833,1.48715,0.0013466,0.0013466,0.0013466
35,2152.07,1.42025,1.6882,1.42695,0.56452,0.35682,0.40499,0.23006,1.70385,1.7971,1.56878,0.0013268,0.0013268,0.0013268
36,2213.66,1.41611,1.6919,1.41715,0.52594,0.38636,0.4072,0.22431,1.66588,1.79724,1.52787,0.001307,0.001307,0.001307
37,2275.33,1.4077,1.6556,1.42567,0.55329,0.37955,0.41983,0.24462,1.58338,1.76845,1.47871,0.0012872,0.0012872,0.0012872
38,2336.74,1.40153,1.66464,1.43107,0.51937,0.37727,0.39117,0.21658,1.71335,1.81938,1.55138,0.0012674,0.0012674,0.0012674
39,2399.01,1.40153,1.61598,1.41363,0.54873,0.37031,0.41613,0.2527,1.56555,1.73822,1.51138,0.0012476,0.0012476,0.0012476
40,2462.08,1.40901,1.6194,1.404,0.57687,0.37491,0.41623,0.25871,1.53366,1.72892,1.4618,0.0012278,0.0012278,0.0012278
41,2523.96,1.38266,1.62121,1.38194,0.47297,0.37937,0.40794,0.24131,1.59938,1.78779,1.48365,0.001208,0.001208,0.001208
42,2585.4,1.37785,1.59937,1.40787,0.53212,0.42955,0.44077,0.26081,1.61544,1.70864,1.51139,0.0011882,0.0011882,0.0011882
43,2647,1.38498,1.60049,1.41428,0.54863,0.38636,0.40331,0.2369,1.6445,1.86431,1.54299,0.0011684,0.0011684,0.0011684
44,2708.94,1.36535,1.57227,1.39467,0.53568,0.39773,0.42423,0.25523,1.59001,1.74475,1.47784,0.0011486,0.0011486,0.0011486
45,2771.26,1.3929,1.57797,1.40739,0.58193,0.37727,0.44136,0.25634,1.58771,1.69299,1.47646,0.0011288,0.0011288,0.0011288
46,2833.32,1.3766,1.57171,1.40431,0.55692,0.39545,0.42059,0.23348,1.67661,1.78694,1.54157,0.001109,0.001109,0.001109
47,2895.42,1.3712,1.55002,1.39156,0.52503,0.38437,0.41313,0.2309,1.65407,1.76492,1.5228,0.0010892,0.0010892,0.0010892
48,2957.73,1.35534,1.54552,1.38865,0.53904,0.39545,0.4261,0.25193,1.56132,1.68625,1.4541,0.0010694,0.0010694,0.0010694
49,3019.34,1.36526,1.52354,1.37445,0.52976,0.41735,0.44402,0.2423,1.70276,1.67433,1.53302,0.0010496,0.0010496,0.0010496
50,3081.63,1.37566,1.51487,1.40116,0.56762,0.41818,0.45408,0.26091,1.62425,1.6437,1.5005,0.0010298,0.0010298,0.0010298
51,3143.79,1.36186,1.44774,1.38782,0.51911,0.44545,0.45868,0.26849,1.58653,1.63536,1.48507,0.00101,0.00101,0.00101
52,3205.52,1.34056,1.51721,1.36703,0.53043,0.43864,0.46826,0.28193,1.53358,1.59068,1.44699,0.0009902,0.0009902,0.0009902
53,3267.5,1.33326,1.47451,1.36807,0.56606,0.39773,0.44002,0.25979,1.60389,1.61631,1.47451,0.0009704,0.0009704,0.0009704
54,3329.44,1.34026,1.44511,1.36721,0.61962,0.37955,0.44233,0.26324,1.58409,1.66186,1.48242,0.0009506,0.0009506,0.0009506
55,3390.92,1.33539,1.44107,1.36998,0.56845,0.41818,0.44695,0.26343,1.59407,1.61567,1.47419,0.0009308,0.0009308,0.0009308
56,3452.59,1.32607,1.46329,1.36109,0.54524,0.4496,0.45379,0.26511,1.57818,1.60279,1.46647,0.000911,0.000911,0.000911
57,3513.57,1.33109,1.43019,1.35882,0.58811,0.425,0.46284,0.26993,1.62296,1.63617,1.47457,0.0008912,0.0008912,0.0008912
58,3575.27,1.32867,1.40939,1.36506,0.57172,0.43409,0.45935,0.28169,1.50567,1.60043,1.4166,0.0008714,0.0008714,0.0008714
59,3636.96,1.30393,1.40632,1.33938,0.63343,0.43409,0.48009,0.28289,1.52678,1.54715,1.43208,0.0008516,0.0008516,0.0008516
60,3699.12,1.31189,1.39485,1.34373,0.52685,0.44773,0.44679,0.25784,1.59831,1.64724,1.45225,0.0008318,0.0008318,0.0008318
61,3760.8,1.31708,1.41124,1.35226,0.58615,0.43636,0.47013,0.27482,1.57207,1.58247,1.43974,0.000812,0.000812,0.000812
62,3824.14,1.31475,1.38011,1.34066,0.55921,0.43827,0.46188,0.2822,1.50837,1.56782,1.45311,0.0007922,0.0007922,0.0007922
63,3886.86,1.29651,1.39021,1.33408,0.63162,0.44545,0.48315,0.2839,1.53539,1.58859,1.44018,0.0007724,0.0007724,0.0007724
64,3948.48,1.30701,1.38806,1.33969,0.58275,0.45909,0.47848,0.28382,1.52081,1.58778,1.42708,0.0007526,0.0007526,0.0007526
65,4010.91,1.29399,1.36121,1.33564,0.61145,0.44091,0.47425,0.29232,1.49664,1.57737,1.44336,0.0007328,0.0007328,0.0007328
66,4072.57,1.28801,1.37417,1.32733,0.63053,0.43829,0.49196,0.28977,1.53009,1.59363,1.43066,0.000713,0.000713,0.000713
67,4134.43,1.26798,1.35304,1.31824,0.58241,0.43636,0.47958,0.28219,1.52948,1.60493,1.43599,0.0006932,0.0006932,0.0006932
68,4195.51,1.28989,1.33498,1.32156,0.60632,0.45227,0.47862,0.28347,1.49914,1.56812,1.42655,0.0006734,0.0006734,0.0006734
69,4256.81,1.28425,1.31791,1.32479,0.64309,0.44091,0.48828,0.27548,1.58286,1.5996,1.45364,0.0006536,0.0006536,0.0006536
70,4317.81,1.26537,1.31453,1.31419,0.59022,0.42229,0.48439,0.29056,1.52588,1.57266,1.41643,0.0006338,0.0006338,0.0006338
71,4379.21,1.26926,1.29824,1.29989,0.62425,0.41912,0.47637,0.29009,1.49603,1.60279,1.4218,0.000614,0.000614,0.000614
72,4441.1,1.25542,1.29817,1.30786,0.68118,0.40455,0.47773,0.28073,1.56399,1.56855,1.43983,0.0005942,0.0005942,0.0005942
73,4502.81,1.26515,1.29957,1.3092,0.62953,0.44545,0.4827,0.27782,1.59038,1.58542,1.44531,0.0005744,0.0005744,0.0005744
74,4564.86,1.26178,1.2677,1.31189,0.65781,0.44091,0.4956,0.29542,1.53072,1.57152,1.42873,0.0005546,0.0005546,0.0005546
75,4626.89,1.23861,1.25393,1.3035,0.60919,0.45347,0.49655,0.29034,1.56903,1.55829,1.44556,0.0005348,0.0005348,0.0005348
76,4689.34,1.25523,1.24279,1.30678,0.64114,0.43447,0.4897,0.28944,1.55995,1.57295,1.46387,0.000515,0.000515,0.000515
77,4751.25,1.23436,1.23933,1.29816,0.59052,0.46364,0.49147,0.28215,1.56168,1.59571,1.43829,0.0004952,0.0004952,0.0004952
78,4812.43,1.24725,1.2564,1.30351,0.65755,0.42727,0.4981,0.2857,1.59376,1.56606,1.45991,0.0004754,0.0004754,0.0004754
79,4874.69,1.22767,1.21474,1.28209,0.58049,0.47045,0.48618,0.27512,1.61456,1.56976,1.46502,0.0004556,0.0004556,0.0004556
80,4936.21,1.233,1.19329,1.28691,0.60709,0.45227,0.49955,0.28512,1.61404,1.57446,1.46592,0.0004358,0.0004358,0.0004358
81,4998.43,1.21285,1.19289,1.27461,0.57674,0.44545,0.49307,0.2738,1.66127,1.59985,1.49778,0.000416,0.000416,0.000416
82,5060.3,1.20579,1.17,1.27538,0.63707,0.44318,0.4939,0.29296,1.53732,1.56828,1.46432,0.0003962,0.0003962,0.0003962
83,5121.76,1.20282,1.16408,1.26995,0.57616,0.47045,0.49375,0.26784,1.65656,1.59993,1.49592,0.0003764,0.0003764,0.0003764
84,5184.15,1.2146,1.16055,1.27386,0.60574,0.42727,0.48818,0.27034,1.63253,1.5902,1.47357,0.0003566,0.0003566,0.0003566
85,5245.46,1.21576,1.17205,1.27116,0.58675,0.48409,0.50704,0.28427,1.60669,1.52657,1.48372,0.0003368,0.0003368,0.0003368
86,5307.08,1.18816,1.14925,1.26584,0.60496,0.49422,0.50912,0.29046,1.57055,1.50888,1.47624,0.000317,0.000317,0.000317
87,5369.13,1.186,1.11943,1.25251,0.65021,0.43937,0.50769,0.28408,1.59127,1.54201,1.45531,0.0002972,0.0002972,0.0002972
88,5431.87,1.19648,1.14598,1.26662,0.627,0.45455,0.49946,0.2893,1.53327,1.52899,1.43528,0.0002774,0.0002774,0.0002774
89,5493.99,1.18028,1.11969,1.25786,0.61623,0.46818,0.50087,0.28788,1.58429,1.54084,1.46699,0.0002576,0.0002576,0.0002576
90,5556.86,1.17453,1.12921,1.2627,0.59847,0.47727,0.5063,0.28485,1.61005,1.54319,1.47887,0.0002378,0.0002378,0.0002378
91,5621.37,1.18763,1.09909,1.25682,0.59254,0.47924,0.49991,0.29902,1.50491,1.53994,1.42235,0.000218,0.000218,0.000218
92,5682.77,1.17225,1.08643,1.25008,0.59121,0.48646,0.50746,0.28842,1.58581,1.54353,1.4503,0.0001982,0.0001982,0.0001982
93,5744.11,1.19504,1.09636,1.26143,0.6512,0.44545,0.50343,0.29559,1.5269,1.53595,1.43715,0.0001784,0.0001784,0.0001784
94,5805.15,1.16579,1.06118,1.24931,0.61198,0.47316,0.50815,0.29403,1.56099,1.55101,1.44798,0.0001586,0.0001586,0.0001586
