epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5298,1.54094,2.7995,1.31109,0.00571,0.58409,0.22021,0.10432,1.55653,3.30797,1.23501,0.00046,0.00046,0.00046
2,70.247,1.52576,2.052,1.29817,0.38634,0.06296,0.08425,0.03699,1.79841,3.30685,1.60256,0.000930694,0.000930694,0.000930694
3,98.8279,1.59466,1.97739,1.32711,0.23964,0.19773,0.10753,0.0419,2.14127,3.48397,2.03365,0.00139188,0.00139188,0.00139188
4,127.465,1.64593,1.91451,1.38323,0.02036,0.02955,0.01019,0.00397,2.35016,15.6999,2.07006,0.00184357,0.00184357,0.00184357
5,156.043,1.70309,1.91029,1.42275,0.09917,0.14545,0.0325,0.01491,2.15867,16.31,2.10003,0.0019208,0.0019208,0.0019208
6,184.26,1.68991,1.8376,1.41247,0.21199,0.12045,0.08849,0.04362,2.00924,7.39972,1.73426,0.001901,0.001901,0.001901
7,213.392,1.67746,1.82325,1.40059,0.36574,0.25,0.21103,0.12154,1.70971,3.87735,1.50476,0.0018812,0.0018812,0.0018812
8,239.472,1.64853,1.76,1.39667,0.41101,0.30682,0.26956,0.13076,1.87185,2.95279,1.53552,0.0018614,0.0018614,0.0018614
9,269.575,1.61017,1.69221,1.36156,0.45596,0.2781,0.26964,0.1448,1.73542,2.3901,1.45053,0.0018416,0.0018416,0.0018416
10,297.193,1.60371,1.67533,1.36357,0.49952,0.275,0.27531,0.16568,1.68205,2.91972,1.42437,0.0018218,0.0018218,0.0018218
11,323.997,1.54918,1.64206,1.35347,0.42187,0.30682,0.27197,0.14888,1.81346,2.73384,1.55474,0.001802,0.001802,0.001802
12,353.795,1.58386,1.6095,1.34608,0.48406,0.34545,0.33207,0.1884,1.5602,1.90245,1.32806,0.0017822,0.0017822,0.0017822
13,381.097,1.56179,1.60094,1.34427,0.48446,0.32955,0.32037,0.17203,1.68864,1.90032,1.40187,0.0017624,0.0017624,0.0017624
14,410.764,1.52174,1.54058,1.3285,0.47162,0.33636,0.31924,0.16188,1.7756,2.32782,1.45981,0.0017426,0.0017426,0.0017426
15,438.309,1.51877,1.56895,1.32773,0.49288,0.31146,0.31342,0.17903,1.6509,1.88849,1.38412,0.0017228,0.0017228,0.0017228
16,465.85,1.51266,1.55182,1.3051,0.54895,0.31591,0.33428,0.1879,1.60782,2.25717,1.31375,0.001703,0.001703,0.001703
17,494.269,1.49431,1.52887,1.31514,0.59226,0.34091,0.38407,0.20954,1.70072,1.64101,1.37802,0.0016832,0.0016832,0.0016832
18,522.513,1.49572,1.50806,1.30503,0.46322,0.325,0.28947,0.16919,1.54845,2.39356,1.30402,0.0016634,0.0016634,0.0016634
19,551.27,1.48414,1.48346,1.28268,0.4378,0.31149,0.27043,0.14685,1.75012,2.0193,1.40897,0.0016436,0.0016436,0.0016436
20,578.294,1.48613,1.51741,1.31761,0.50146,0.35909,0.36465,0.19631,1.69946,1.77194,1.36119,0.0016238,0.0016238,0.0016238
21,607.084,1.49347,1.47004,1.30266,0.47699,0.34091,0.31322,0.18489,1.50849,1.81872,1.2811,0.001604,0.001604,0.001604
22,635.741,1.47124,1.44577,1.2886,0.55884,0.36136,0.37824,0.21446,1.59859,1.69073,1.33124,0.0015842,0.0015842,0.0015842
23,663.012,1.46179,1.42509,1.28524,0.54784,0.36818,0.37059,0.19675,1.71507,1.74137,1.36205,0.0015644,0.0015644,0.0015644
24,691.778,1.47065,1.47359,1.29765,0.44244,0.34545,0.331,0.17345,1.67115,1.81247,1.34243,0.0015446,0.0015446,0.0015446
25,720.168,1.4453,1.43708,1.2818,0.57898,0.33864,0.38045,0.21104,1.66658,1.68511,1.31422,0.0015248,0.0015248,0.0015248
26,747.615,1.44656,1.41843,1.27216,0.67171,0.36737,0.40059,0.2169,1.63251,1.67843,1.3172,0.001505,0.001505,0.001505
27,776.1,1.44788,1.40872,1.27091,0.5716,0.37273,0.36922,0.21495,1.56018,1.64728,1.2934,0.0014852,0.0014852,0.0014852
28,804.774,1.45724,1.41536,1.27507,0.56325,0.36136,0.3886,0.21317,1.63221,1.60742,1.33201,0.0014654,0.0014654,0.0014654
29,833.709,1.43412,1.36957,1.27,0.57598,0.33864,0.37956,0.20792,1.63141,1.70315,1.31489,0.0014456,0.0014456,0.0014456
30,860.869,1.41549,1.3399,1.25512,0.58986,0.39318,0.42316,0.23963,1.61596,1.53234,1.31768,0.0014258,0.0014258,0.0014258
31,889.802,1.38989,1.334,1.23994,0.58157,0.40433,0.41775,0.24223,1.51714,1.53674,1.26932,0.001406,0.001406,0.001406
32,918.547,1.42289,1.32467,1.24406,0.57417,0.37727,0.39177,0.21598,1.69164,1.67305,1.36127,0.0013862,0.0013862,0.0013862
33,947.183,1.42389,1.34278,1.26528,0.5421,0.37955,0.40148,0.23085,1.57187,2.07746,1.28253,0.0013664,0.0013664,0.0013664
34,977.559,1.38978,1.32694,1.23669,0.67137,0.35455,0.39917,0.21045,1.71128,1.78551,1.33349,0.0013466,0.0013466,0.0013466
35,1005.46,1.41112,1.32322,1.25329,0.51225,0.38182,0.39432,0.22761,1.58957,1.71996,1.28606,0.0013268,0.0013268,0.0013268
36,1033.5,1.37334,1.29563,1.22937,0.55678,0.375,0.3995,0.21331,1.71101,1.60293,1.34332,0.001307,0.001307,0.001307
37,1061.66,1.3981,1.3515,1.24441,0.74355,0.32045,0.40553,0.23381,1.56299,1.56533,1.28481,0.0012872,0.0012872,0.0012872
38,1089.52,1.35094,1.24611,1.2242,0.64569,0.37277,0.42173,0.26022,1.48712,1.47467,1.24506,0.0012674,0.0012674,0.0012674
39,1117.46,1.38131,1.29575,1.24249,0.7193,0.35455,0.44088,0.26032,1.51971,1.47471,1.28353,0.0012476,0.0012476,0.0012476
40,1146.29,1.33019,1.26221,1.20747,0.60369,0.39091,0.43017,0.26625,1.43849,1.49357,1.25581,0.0012278,0.0012278,0.0012278
41,1171.7,1.36554,1.29221,1.2281,0.60635,0.4,0.44073,0.27426,1.40654,1.43434,1.23024,0.001208,0.001208,0.001208
42,1201.01,1.34408,1.21724,1.21779,0.68986,0.35909,0.42329,0.23666,1.57846,1.60003,1.2966,0.0011882,0.0011882,0.0011882
43,1228.52,1.3455,1.23294,1.21361,0.64841,0.40682,0.4372,0.25782,1.46838,1.47889,1.25194,0.0011684,0.0011684,0.0011684
44,1257.44,1.32396,1.23722,1.20874,0.66368,0.39091,0.43453,0.28335,1.27448,1.37268,1.20401,0.0011486,0.0011486,0.0011486
45,1285.32,1.31667,1.23743,1.20972,0.65806,0.35682,0.42627,0.27031,1.31745,1.53032,1.21331,0.0011288,0.0011288,0.0011288
46,1312.55,1.32668,1.21049,1.19334,0.62379,0.38438,0.42624,0.24636,1.50914,1.53405,1.27692,0.001109,0.001109,0.001109
47,1340.41,1.29395,1.17371,1.19434,0.64169,0.37853,0.44809,0.28983,1.31292,1.4091,1.18606,0.0010892,0.0010892,0.0010892
