epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3489,1.492,2.36648,1.43561,0.12367,0.35,0.06926,0.03732,1.65361,8.75763,1.47923,0.000655367,0.000655367,0.000655367
2,74.7574,1.66443,1.86452,1.57114,0.14846,0.17751,0.10641,0.04925,2.11192,10.2564,2.04073,0.00130895,0.00130895,0.00130895
3,112.4,1.71666,1.89112,1.60005,0.13797,0.18182,0.05526,0.02196,2.27778,11.4568,2.20422,0.00194932,0.00194932,0.00194932
4,148.076,1.67998,1.80897,1.58987,0.19338,0.21591,0.12606,0.0627,1.93185,9.236,1.95453,0.0019406,0.0019406,0.0019406
5,183.783,1.69498,1.79687,1.60521,0.45809,0.2901,0.28542,0.15387,2.03454,2.22825,1.70516,0.0019208,0.0019208,0.0019208
6,219.854,1.652,1.74346,1.56218,0.33086,0.23182,0.19624,0.09891,2.07437,4.92276,1.74101,0.001901,0.001901,0.001901
7,256.604,1.61085,1.70813,1.53032,0.49867,0.29318,0.29989,0.17234,1.77859,2.1087,1.55847,0.0018812,0.0018812,0.0018812
8,292.587,1.56063,1.64315,1.53929,0.56699,0.27045,0.28823,0.14628,1.95604,2.251,1.71473,0.0018614,0.0018614,0.0018614
9,328.562,1.61495,1.66117,1.54299,0.51732,0.30909,0.32951,0.18332,1.91563,2.12635,1.6773,0.0018416,0.0018416,0.0018416
10,366.013,1.58376,1.64921,1.52459,0.60473,0.33864,0.37644,0.20848,1.90131,1.91943,1.62646,0.0018218,0.0018218,0.0018218
11,402.505,1.55233,1.61598,1.53348,0.41428,0.38409,0.33951,0.1751,1.95933,2.28803,1.67098,0.001802,0.001802,0.001802
12,437.994,1.54207,1.57225,1.48632,0.4903,0.36136,0.3498,0.19173,1.91524,2.02986,1.59658,0.0017822,0.0017822,0.0017822
13,473.49,1.5038,1.50257,1.4584,0.57172,0.35227,0.37848,0.22098,1.81882,1.69866,1.60766,0.0017624,0.0017624,0.0017624
14,510.58,1.50431,1.47287,1.46324,0.56311,0.34773,0.37495,0.21605,1.76121,1.70055,1.5035,0.0017426,0.0017426,0.0017426
15,546.368,1.5006,1.51466,1.4804,0.48368,0.32727,0.31871,0.19958,1.67543,2.62894,1.48721,0.0017228,0.0017228,0.0017228
16,581.789,1.48634,1.49997,1.46991,0.5503,0.36591,0.40005,0.24169,1.63017,1.62807,1.4442,0.001703,0.001703,0.001703
17,618.399,1.4812,1.46775,1.46237,0.69586,0.35879,0.42523,0.24954,1.66479,1.729,1.48346,0.0016832,0.0016832,0.0016832
18,655.536,1.46929,1.4732,1.45518,0.58345,0.37955,0.41058,0.24091,1.74327,1.87308,1.51818,0.0016634,0.0016634,0.0016634
19,691.476,1.44803,1.367,1.4319,0.61056,0.375,0.42203,0.24192,1.74409,1.74983,1.50499,0.0016436,0.0016436,0.0016436
20,727.331,1.47406,1.42336,1.4659,0.60609,0.36364,0.39347,0.23183,1.76447,1.73715,1.53885,0.0016238,0.0016238,0.0016238
21,764.688,1.47552,1.42793,1.44169,0.58142,0.39773,0.42687,0.22858,1.86069,1.59058,1.53028,0.001604,0.001604,0.001604
22,800.38,1.43957,1.37663,1.39957,0.54359,0.39318,0.40642,0.21428,1.85635,1.92288,1.55856,0.0015842,0.0015842,0.0015842
23,836.178,1.45265,1.3635,1.40398,0.54692,0.38134,0.4152,0.24658,1.63175,1.66493,1.42979,0.0015644,0.0015644,0.0015644
24,871.801,1.4061,1.36428,1.41924,0.55122,0.38864,0.4133,0.23652,1.76018,1.73884,1.52104,0.0015446,0.0015446,0.0015446
25,908.904,1.42127,1.33945,1.42369,0.57344,0.40227,0.43533,0.26332,1.52843,1.53474,1.40654,0.0015248,0.0015248,0.0015248
26,945.463,1.39199,1.30747,1.38598,0.66218,0.38312,0.45343,0.27328,1.60946,1.54085,1.466,0.001505,0.001505,0.001505
27,981.242,1.41468,1.34669,1.40459,0.63794,0.37955,0.43445,0.27118,1.53872,1.48944,1.43457,0.0014852,0.0014852,0.0014852
28,1017.48,1.40451,1.32464,1.40808,0.60894,0.41407,0.44746,0.26841,1.62362,1.5085,1.412,0.0014654,0.0014654,0.0014654
29,1054.43,1.37636,1.3044,1.38876,0.68206,0.36567,0.43579,0.23686,1.79798,1.55592,1.51827,0.0014456,0.0014456,0.0014456
