epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5611,1.53139,2.92973,1.41839,0.00549,0.56136,0.1022,0.05591,1.37334,3.2542,1.18688,0.00046,0.00046,0.00046
2,70.6103,1.50384,2.03264,1.37423,0.22208,0.04773,0.04342,0.01554,1.7043,3.4019,1.55122,0.000930694,0.000930694,0.000930694
3,99.4333,1.58931,1.9691,1.40819,0.00677,0.33864,0.00511,0.00258,2.00377,44.7052,2.09672,0.00139188,0.00139188,0.00139188
4,127.219,1.62148,1.86067,1.45808,0.02181,0.18182,0.0124,0.00509,2.14305,17.3948,2.57943,0.00184357,0.00184357,0.00184357
5,158.796,1.67575,1.87837,1.48349,0.01706,0.29318,0.01016,0.00467,1.99666,inf,2.12193,0.0019208,0.0019208,0.0019208
6,188.403,1.65446,1.81131,1.47354,0.05544,0.15513,0.04155,0.02521,1.69064,17.3636,1.71374,0.001901,0.001901,0.001901
7,216.899,1.64112,1.77112,1.46548,0.14851,0.21818,0.08655,0.04372,1.8125,6.26374,1.7519,0.0018812,0.0018812,0.0018812
8,245.867,1.63963,1.72775,1.48244,0.27028,0.23636,0.17142,0.09613,1.85412,6.03412,1.71301,0.0018614,0.0018614,0.0018614
9,274.883,1.57727,1.6293,1.44693,0.3324,0.20227,0.17152,0.09071,2.25006,5.10823,2.10796,0.0018416,0.0018416,0.0018416
10,303.574,1.55763,1.61356,1.42465,0.47831,0.24545,0.26382,0.15741,1.62227,2.17896,1.50718,0.0018218,0.0018218,0.0018218
11,331.896,1.53464,1.57554,1.42554,0.40852,0.32955,0.28255,0.15344,1.79928,3.08396,1.58359,0.001802,0.001802,0.001802
12,360.391,1.55667,1.56074,1.41018,0.50323,0.34091,0.34151,0.20646,1.53928,2.0902,1.44198,0.0017822,0.0017822,0.0017822
13,388.95,1.54349,1.55027,1.41987,0.29043,0.25909,0.13113,0.07325,1.7342,2.49778,1.58456,0.0017624,0.0017624,0.0017624
14,420.341,1.51735,1.50268,1.40506,0.10105,0.39318,0.05953,0.02791,1.78482,4.21891,1.52862,0.0017426,0.0017426,0.0017426
15,448.773,1.51696,1.53666,1.41007,0.48392,0.33409,0.33303,0.19093,1.52026,3.16269,1.40593,0.0017228,0.0017228,0.0017228
16,477.347,1.5132,1.48603,1.39043,0.41903,0.37727,0.32051,0.17796,1.58913,2.16883,1.40585,0.001703,0.001703,0.001703
17,504.987,1.48706,1.47306,1.4013,0.41041,0.40455,0.34232,0.18125,1.679,2.03308,1.49876,0.0016832,0.0016832,0.0016832
18,534.117,1.46485,1.45959,1.37373,0.51623,0.33864,0.31928,0.17674,1.71027,2.25555,1.48839,0.0016634,0.0016634,0.0016634
19,565.129,1.4918,1.44899,1.37217,0.6355,0.30455,0.35459,0.19557,1.64632,1.80346,1.42907,0.0016436,0.0016436,0.0016436
20,593.362,1.47736,1.44859,1.40193,0.48451,0.32273,0.31842,0.17995,1.61209,2.00672,1.41926,0.0016238,0.0016238,0.0016238
21,622.31,1.47647,1.4404,1.38384,0.58301,0.32727,0.36449,0.2153,1.66244,1.76362,1.49953,0.001604,0.001604,0.001604
22,652.298,1.48347,1.40312,1.38672,0.45578,0.39545,0.37221,0.2149,1.63634,2.2418,1.46493,0.0015842,0.0015842,0.0015842
23,680.526,1.43853,1.37529,1.36204,0.60013,0.37273,0.40381,0.23439,1.56189,1.51519,1.39385,0.0015644,0.0015644,0.0015644
24,710.35,1.45371,1.40894,1.38517,0.53809,0.39318,0.4007,0.22497,1.63994,1.90502,1.41661,0.0015446,0.0015446,0.0015446
25,738.54,1.45427,1.41098,1.38369,0.50902,0.36591,0.37765,0.199,1.76434,1.66813,1.53439,0.0015248,0.0015248,0.0015248
26,769.124,1.44185,1.39374,1.3702,0.52902,0.40227,0.39158,0.21839,1.64696,1.69383,1.47527,0.001505,0.001505,0.001505
27,796.784,1.43299,1.35357,1.36053,0.53983,0.41136,0.4074,0.23702,1.5512,1.48264,1.40498,0.0014852,0.0014852,0.0014852
28,827.823,1.438,1.33926,1.36765,0.61265,0.37045,0.39922,0.22326,1.69176,1.6382,1.47415,0.0014654,0.0014654,0.0014654
29,855.976,1.4211,1.33021,1.36557,0.63258,0.38182,0.42574,0.24377,1.53656,1.76761,1.39508,0.0014456,0.0014456,0.0014456
30,883.551,1.39971,1.29514,1.33521,0.5983,0.36591,0.38376,0.2091,1.65829,1.93994,1.45148,0.0014258,0.0014258,0.0014258
31,912.027,1.3959,1.29123,1.32874,0.71335,0.36591,0.4284,0.25542,1.56032,1.6114,1.39101,0.001406,0.001406,0.001406
32,943.321,1.42536,1.30042,1.33749,0.67984,0.34773,0.40221,0.21924,1.63997,1.68763,1.41511,0.0013862,0.0013862,0.0013862
33,972.422,1.41838,1.29589,1.35369,0.60221,0.39773,0.40508,0.23078,1.56965,1.63417,1.41819,0.0013664,0.0013664,0.0013664
34,999.802,1.37583,1.29675,1.3342,0.63131,0.36136,0.41336,0.24103,1.57219,1.63237,1.36694,0.0013466,0.0013466,0.0013466
35,1029.75,1.38561,1.26671,1.33184,0.5996,0.35,0.39187,0.22105,1.70965,1.85639,1.43001,0.0013268,0.0013268,0.0013268
36,1058.05,1.39003,1.2513,1.32597,0.75855,0.35455,0.43443,0.24986,1.56192,1.48393,1.39231,0.001307,0.001307,0.001307
37,1088.02,1.40026,1.27939,1.34104,0.56985,0.35682,0.39055,0.21651,1.6621,1.92601,1.41596,0.0012872,0.0012872,0.0012872
38,1115.57,1.37302,1.21412,1.31965,0.62334,0.37727,0.43914,0.25634,1.4846,1.43722,1.34249,0.0012674,0.0012674,0.0012674
39,1144.63,1.37789,1.26593,1.33314,0.65702,0.35909,0.42032,0.26565,1.43686,1.43776,1.33344,0.0012476,0.0012476,0.0012476
40,1172.62,1.36275,1.2132,1.32766,0.64328,0.4,0.45394,0.27028,1.50563,1.52293,1.35379,0.0012278,0.0012278,0.0012278
41,1202.43,1.36247,1.23554,1.32649,0.66365,0.39014,0.45012,0.26435,1.56925,1.38655,1.37427,0.001208,0.001208,0.001208
42,1232.33,1.35367,1.20414,1.31801,0.70189,0.33712,0.4354,0.24726,1.60001,1.45767,1.36673,0.0011882,0.0011882,0.0011882
43,1259.47,1.36065,1.20046,1.31031,0.63871,0.41364,0.45821,0.28275,1.45964,1.36618,1.33721,0.0011684,0.0011684,0.0011684
44,1288.22,1.33719,1.1941,1.30886,0.60542,0.40227,0.45156,0.2745,1.44689,1.50644,1.33535,0.0011486,0.0011486,0.0011486
45,1317.15,1.34079,1.23296,1.3154,0.68496,0.38049,0.4308,0.24978,1.5426,1.47087,1.34958,0.0011288,0.0011288,0.0011288
46,1346.74,1.36416,1.17041,1.29427,0.68838,0.40164,0.45891,0.27072,1.51884,1.4251,1.33639,0.001109,0.001109,0.001109
47,1376.23,1.31303,1.13587,1.29684,0.60436,0.41818,0.44973,0.26882,1.48345,1.36544,1.36988,0.0010892,0.0010892,0.0010892
48,1404.34,1.32635,1.14815,1.2907,0.6592,0.37955,0.43869,0.268,1.47767,1.46447,1.35046,0.0010694,0.0010694,0.0010694
49,1432.9,1.32833,1.15013,1.30082,0.73098,0.37053,0.4439,0.26697,1.53458,1.47332,1.3437,0.0010496,0.0010496,0.0010496
50,1460.99,1.30814,1.12153,1.30574,0.5603,0.44021,0.46119,0.26268,1.59339,1.42706,1.37829,0.0010298,0.0010298,0.0010298
51,1491.37,1.32441,1.14165,1.28227,0.72747,0.38182,0.461,0.29422,1.4179,1.33793,1.29972,0.00101,0.00101,0.00101
52,1520.75,1.33568,1.14516,1.31253,0.71316,0.37273,0.45676,0.28396,1.42458,1.34938,1.30018,0.0009902,0.0009902,0.0009902
53,1548.84,1.32789,1.14442,1.2975,0.74179,0.38182,0.45732,0.27175,1.53226,1.36511,1.34675,0.0009704,0.0009704,0.0009704
54,1579.76,1.3197,1.15129,1.29647,0.60611,0.44415,0.47362,0.26755,1.60189,1.39908,1.38283,0.0009506,0.0009506,0.0009506
55,1608.18,1.30994,1.1092,1.29773,0.63584,0.43636,0.48856,0.2832,1.53431,1.26536,1.369,0.0009308,0.0009308,0.0009308
56,1637.06,1.29522,1.11947,1.28661,0.61298,0.41364,0.45973,0.27668,1.49371,1.33755,1.31655,0.000911,0.000911,0.000911
57,1665.66,1.32781,1.13621,1.31864,0.74108,0.40227,0.48208,0.28115,1.56091,1.30769,1.34884,0.0008912,0.0008912,0.0008912
58,1695.84,1.33154,1.12355,1.30489,0.77946,0.36364,0.47029,0.27898,1.50749,1.31104,1.3371,0.0008714,0.0008714,0.0008714
59,1722.62,1.29764,1.09283,1.26494,0.68151,0.41337,0.48263,0.26563,1.61302,1.31196,1.39281,0.0008516,0.0008516,0.0008516
60,1754.54,1.28336,1.09272,1.25793,0.58646,0.43864,0.47355,0.27399,1.56999,1.36185,1.38425,0.0008318,0.0008318,0.0008318
61,1784.23,1.30102,1.09427,1.28573,0.67035,0.42273,0.47147,0.26712,1.59075,1.33064,1.36709,0.000812,0.000812,0.000812
62,1812.61,1.31191,1.10739,1.28044,0.66345,0.39091,0.45106,0.26546,1.52145,1.38226,1.35158,0.0007922,0.0007922,0.0007922
63,1842.15,1.301,1.08634,1.2661,0.6606,0.4,0.46125,0.27863,1.48877,1.37733,1.33289,0.0007724,0.0007724,0.0007724
64,1870.37,1.28718,1.07614,1.25796,0.67038,0.39318,0.44904,0.2651,1.54395,1.53239,1.36643,0.0007526,0.0007526,0.0007526
65,1899.24,1.30106,1.07817,1.28292,0.70002,0.40909,0.46944,0.27749,1.56866,1.35264,1.35907,0.0007328,0.0007328,0.0007328
66,1929.34,1.28246,1.03263,1.26357,0.67034,0.3882,0.46856,0.28218,1.49182,1.32673,1.32631,0.000713,0.000713,0.000713
67,1958.4,1.27999,1.03056,1.27418,0.82897,0.35227,0.44798,0.27088,1.49521,1.32191,1.32469,0.0006932,0.0006932,0.0006932
68,1985.87,1.2439,1.02826,1.25285,0.69284,0.43182,0.48149,0.28292,1.52564,1.27656,1.32793,0.0006734,0.0006734,0.0006734
69,2016.43,1.27415,1.03723,1.25169,0.67227,0.425,0.49131,0.30429,1.42513,1.25095,1.28887,0.0006536,0.0006536,0.0006536
70,2045.01,1.26834,1.02563,1.25556,0.70625,0.4426,0.48921,0.28579,1.53005,1.27966,1.35412,0.0006338,0.0006338,0.0006338
71,2074.7,1.29298,1.02668,1.26655,0.67488,0.43875,0.49061,0.28599,1.58966,1.28753,1.36477,0.000614,0.000614,0.000614
72,2103.01,1.27199,1.00941,1.26295,0.67489,0.43636,0.47829,0.29058,1.52044,1.3123,1.32805,0.0005942,0.0005942,0.0005942
73,2131.79,1.28771,1.01248,1.25682,0.68016,0.41136,0.47188,0.27134,1.58886,1.35969,1.36261,0.0005744,0.0005744,0.0005744
74,2161.06,1.23888,0.99257,1.24482,0.61698,0.43636,0.47799,0.29019,1.45598,1.2749,1.29743,0.0005546,0.0005546,0.0005546
75,2189.38,1.2504,0.97459,1.23607,0.67222,0.41818,0.48337,0.29519,1.44913,1.27462,1.3078,0.0005348,0.0005348,0.0005348
76,2218.04,1.25733,0.97668,1.25685,0.75786,0.38864,0.48849,0.28457,1.51797,1.24049,1.35417,0.000515,0.000515,0.000515
77,2246.75,1.24654,0.97023,1.2568,0.75837,0.39318,0.49354,0.28898,1.47893,1.22197,1.32659,0.0004952,0.0004952,0.0004952
78,2277.05,1.26689,0.98701,1.24539,0.74355,0.38409,0.48811,0.29361,1.47389,1.24639,1.33507,0.0004754,0.0004754,0.0004754
79,2306.18,1.23868,0.97404,1.2422,0.74079,0.39545,0.49027,0.28309,1.53565,1.25738,1.35985,0.0004556,0.0004556,0.0004556
80,2334.77,1.22371,0.95947,1.23824,0.61144,0.43636,0.47833,0.29323,1.47214,1.31122,1.30953,0.0004358,0.0004358,0.0004358
81,2361.09,1.21085,0.9472,1.22911,0.74692,0.41818,0.50166,0.311,1.41946,1.1931,1.29688,0.000416,0.000416,0.000416
82,2390.57,1.25358,0.95933,1.23615,0.73067,0.42543,0.50806,0.30164,1.49653,1.23333,1.3465,0.0003962,0.0003962,0.0003962
83,2421.01,1.19398,0.92264,1.21369,0.71742,0.42045,0.49815,0.30261,1.45006,1.25565,1.28827,0.0003764,0.0003764,0.0003764
84,2449.05,1.21356,0.93104,1.24377,0.76459,0.39862,0.50753,0.30464,1.45301,1.21589,1.29389,0.0003566,0.0003566,0.0003566
85,2476.5,1.21817,0.93424,1.22749,0.71629,0.40455,0.49517,0.30777,1.41285,1.23263,1.2717,0.0003368,0.0003368,0.0003368
86,2505.15,1.19163,0.93251,1.22632,0.69445,0.42045,0.4993,0.30222,1.45637,1.19534,1.32229,0.000317,0.000317,0.000317
87,2532.61,1.219,0.92147,1.22715,0.65354,0.44318,0.49158,0.3001,1.45078,1.21138,1.3017,0.0002972,0.0002972,0.0002972
88,2564.25,1.22345,0.9195,1.21648,0.77723,0.40682,0.50606,0.30851,1.45988,1.17716,1.30821,0.0002774,0.0002774,0.0002774
89,2592.39,1.19817,0.92258,1.20135,0.74703,0.4094,0.49921,0.30338,1.47266,1.21307,1.3,0.0002576,0.0002576,0.0002576
90,2620.53,1.20498,0.90722,1.22417,0.68268,0.42273,0.49859,0.30225,1.43457,1.22788,1.28548,0.0002378,0.0002378,0.0002378
91,2662.34,1.16229,0.89236,1.19656,0.72386,0.39545,0.47461,0.28882,1.46545,1.31372,1.32191,0.000218,0.000218,0.000218
92,2693.22,1.13428,0.85823,1.15819,0.73703,0.40767,0.47751,0.30203,1.38252,1.26511,1.253,0.0001982,0.0001982,0.0001982
93,2722.32,1.1421,0.82855,1.15532,0.60007,0.47045,0.48923,0.30975,1.38162,1.22462,1.25695,0.0001784,0.0001784,0.0001784
94,2750.06,1.1281,0.82502,1.15438,0.68408,0.41591,0.49042,0.30364,1.42639,1.22737,1.2766,0.0001586,0.0001586,0.0001586
95,2778.62,1.13047,0.80945,1.17258,0.61972,0.45455,0.49232,0.30766,1.36806,1.23742,1.26444,0.0001388,0.0001388,0.0001388
96,2804.75,1.12596,0.79779,1.16251,0.78156,0.4,0.50818,0.31005,1.40886,1.18419,1.27136,0.000119,0.000119,0.000119
97,2834.28,1.12817,0.81546,1.16326,0.77142,0.39773,0.50257,0.3129,1.36141,1.20326,1.2515,9.92e-05,9.92e-05,9.92e-05
98,2861.88,1.13454,0.79906,1.15829,0.80385,0.4,0.50083,0.3119,1.39264,1.19337,1.26167,7.94e-05,7.94e-05,7.94e-05
99,2889.9,1.08408,0.77583,1.13909,0.76224,0.40074,0.50269,0.32171,1.32612,1.18907,1.2394,5.96e-05,5.96e-05,5.96e-05
100,2917,1.09828,0.78138,1.14684,0.66276,0.43636,0.50639,0.31187,1.41106,1.19627,1.27043,3.98e-05,3.98e-05,3.98e-05
